tw;puntuacion
fecode Mineducacion Fiduprevisora Que tal los barrigones directivos nde fecode invitando a los docentes trabajadoras e integrantes de comunidad educativas osea a los zombis para que salgan a las calles y se contagien de Covid 19 mientras ellos felices en sus casas;0
DiegoFerCri1 Hay muchos problemas sociales actualmente quizas pueda que quieran hacer una nueva de cortina al Covid 19 Lo cierto es que con esta nueva informacion sacada a la luz se viene consigo una ola de disturbios como lo estamos presenciando justo ahora educate;0
COVID19Ecuador Las pruebas diagnosticas para el SARS COV 2 Covid 19 se estan utilizando mal sin criterio sin control y con desperdicio seguro de recursos publicos nLea el nuevo articulo de opinion de Juan Jose Suarez n;0
Colombia supera los 30 000 casos de COVID 19 y se acerca a las 1 000 muertes a traves de YahooActualidad;0
Bogota sigue alarmando por expansion de COVID 19 tiene la tercera parte de casos del pais;0
Colombia alcanza los 30 493 casos de COVID 19 n;0
Bendita suerte la mia mi esposa mi mujer del alma dio positivo al Covid 19;0
RevisaINFOCancha y mira nuestro Informativo digital INFOCANCHA Al Instante con estos temas n n BarcelonaSC confirma un primer caso positivo de Covid 19 n EstebanPazR responde una vez mas a Nassib Neme n DelfinSC aclara no haber vuelto a los entrenamientos;0
minacaracol minacaracol Asi el Sr JorgeIvanOspina Pensando en abrir Establecimientos sabiendo lo mal q esta la ciudad sobre el Covid 19 La gente no piensa no quieren hacer caso y esto nos va a joder mas de lo q estamos;0
7090188bd9bf421 MashiRafael El COVID 19 causara miles de muertos en Ecuador nEl remedio del gobierno es mucho peor que la enfermedad nLa cuarentena general y obligatoria causara mucho mas dan o que el virus;0
Las cifras oficiales reconocen algo mas de 5 000 muertes por Covid 19 o probable contagio en Ecuador Pero entre el 1 de marzo y el 24 de mayo se registraron al menos 15 000 muertes en exceso con respecto;0
El primer caso de Covid 19 en el pais se registro hace casi tres meses en la ciudad de la provincia de Los Rios;0
Mexico Al menos cinco iglesias de la ciudad de Xalapa en el estado mexicano de Veracruz amanecieron este lunes 1 de junio vandalizadas con pintas proaborto y mensajes anticlericales n;0
CESAR GobdelCesar reporta 32 nuevos casos positivos de Coronavirus COVID19 cortesia luismonsalvo CesarSecSalud;0
acastropiedra Repito Algunos buses casi vacios Y ahora nadie querra viajar en bus los duen os de buses quebraran como cualquier otro negocio similar la presencia del COVID 19 en todo el pais tambien presencia similar en una determinada actividad Rigurosa proteccion y a salir adelante;0
gustavo72210477 IvanDuque Gustavo a la fecha en nuestro pais se registran 969 muertes por Covid 19 En este enlace encuentras informacion detallada de las pruebas realizadas casos confirmados por region y una serie de recomendaciones impartidas por MinSaludCol;0
Agencia API Para emergencia COVID 19 nEsa platica no la vera el pueblo colombiano invertida es hospitales o centros medicos ni en el personal de salud n nEsos dineros van a parar a los bolsillos de la mafia narcoCORRUPTA uribista y su lider el gran Matarife colombiano;0
splendid1040 Algunos buses casi vacios Y ahora nadie querra viajar en bus los duen os de buses quebraran como cualquier otro negocio similar la presencia del COVID 19 en todo el pais tambien presencia similar en una determinada actividad Rigurosa proteccion y a salir adelante;0
Tragedia familiar 4 integrantes de una misma familia fallecieron por COVID 19;0
VIDEO Presidente Alfaro Moreno confirmo un caso de covid 19 en Barcelona n nDetalles aqui;0
Sen or MinSaludCol n IvanDuque esto no puede estar pasando que inresponsabilidad nSolo llamaron a agendar cita no se hicieron la prueba y a los dias recibieron resultados 4 positivos para Covid 19;0
Leer este comentario y firmar la peticion Parece que no supieran como esta la situacion en Piura con escasez de todo tipo de recursos para afrontar el Covid 19 Atiendan a Piura por justicia a traves de ChangeorgLatino;0
ATENCION Ambato alcanzo los 409 contagios confirmados de COVID 19 en Tungurahua se registran 513 casos y 68 fallecidos A nivel nacional los casos ascienden a 39 994 las muertes confirmadas suman 3 394 y 2 135 defunciones por probable coronavirus n n RadioCentro;0
MachadoRobertoO 1 2 Bueno como parece que las noticias del guayas a pichincha vienen en mensaje escrito a mano y el unico transporte son chasquis les informo q en EMELEC Y BARCELONA hay positivos al COVID 19 pero eso no importa hay q volver a las canchas;0
Siete meses aproximadamente desde el primer brote en Wuhan y miren los estragos que ha causado No quiero siquiera imaginarme el saldo dentro de un an o mas n n Covid 19;0
Ojala sus contradictores tengan pantalones para reconocer que las mejores decisiones en pro de ayudar a su gente contra el Covid 19 las ha tomado usted nYo aqui imaginandola como presidenta en unos an os no se pienselo ClaudiaLopez;0
Junio sera un mes de avance en los programas del Gobierno Duque;0
AuroraBurgos4 tuprimonv JEP Colombia Este tipo envejecio llevandole la contraria a la democracia Mirenlo nomas como tiene su aspecto de enfermo de Covid 19;0
fecode Mineducacion Fiduprevisora Esto es el colmo estan en cese de actividades por el Covid 19 y ya sacan fecha para protestar Son muy mal ejemplo para la sociedad;0
Principales noticias sobre Coronavirus Covid19 Quedateencasa EstaEnTusManos Colombia llega a 30 493 casos de contagio Bogota Cuidadora Plataforma para registrarse si va a salir El Covid 19 habria llegado en febrero a Colombia EdgarRicardoArd n;0
BluRadioCo Colombia siempre ha tenido una tasa de desempleo muy alta Este pais no tiene suficiente leyes que protejen la posicion de los empleados y durante COVID 19 el Gobierno no ha hecho suficiente para ayudar las empresas pequen as en pagar los sueldos de sus trabajadores;0
Hola no se olviden que seguimos conviviendo con un virus y que continuan muriendo mas personas y aun no hemos encontrado cura n nEsto es un distractor n anonymus n Covid 19;0
Regiones El gobernador de Cundinamarca CundinamarcaGob Nicolas Garcia nicolasgarciab confirmo que la directora de Gestion del Riesgo del departamento Gina Herrera glherrera resulto positiva para Covid 19 n RCUNDINAMARCA n;0
Colombia llego a los 30 493 contagiados por COVID 19;0
NoticiasDeLaHora Mototaxistas en Pasto realizaron un planton para exigirle al alcalde GERMANCHAMORRO1 que modifique el decreto de prohibicion de parrillero La medida que fue adoptada por la alcaldiapasto busca evitar la propagacion del COVID 19;0
Atencion 11 conductores de buses urbanos de Cuenca dieron positivo para COVID19 via Informados Ec;0
Charly Garcia esta hospitalizado aunque descartan coronavirus n Se le realizaron todos los estudios pertinentes El test indicado para Covid 19 dio resultado negativo dice el comunicado Garcia de 68 an os permanecera pocos dias mas internado en una habitacion comun;0
COVID 19 impacto en abril la produccion de crudo y gas en Colombia;0
ELTIEMPO Los de Fecode son mas terribles que el Covid 19;0
Ecuador nLa OMS da gracias a los gobiernos que han aportado con para difundir la campan a del Covid 19 como nos e s bien conocido que el Sr Lenin entre otros son muy solidarios con la corrupcion no seria nada fuera de serie que los haya dado n;0
En Barcelona SC hay un caso positivo por Covid 19;0
Figurense que en Espan a ha muerto por la COVID 19 una de cada mil personas y en paises como Brasil seran muchos mas pero en Colombia no faltan los descerebrados que creen que no pasa nada que es una gripita y que no se debe hacer nada que limite los derechos individuales;0
Un fallecido y mas de 20 adultos mayores contagiados de coronavirus en asilo de Ambato coronavirusenEcuador;0
Dificil no quebrantarse y analizar sobre la vida al saber la historia de una madre que ya habia perdido a sus dos hijos su esposo y hoy fallecio su ultimo hijo a causas del COVID 19 Malambo;0
Con tal de desviar la atencion de lo que sucede en el MunicipioQuito se hacen animalistas y ambientalistas acerrimos nMientras tanto hacen un festin con el sagrado dinero del pueblo quiten o n Covid 19 n Quito;0
LaGuajira Gobernacion de La Guajira LAGUAJIRAGOB confirma 2 nuevos casos de Coronavirus COVID19 NemesioRoys;0
Este an o si que ha estado enlazado a muchos acontecimientos Covid 19 SpaceX IncendiosForestales policias que asesinan a personas en EEUU y por ultimo las aclaraciones de Anonymuos n nBelleza de an o;0
Mexico Atacan iglesias con pintas abortistas en plena emergencia de COVID 19 via aciprensa;0
Un total de 11 conductores de los buses urbanos de Cuenca dieron positivo a la prueba de coronavirus o Covid 19 que les hizo el Municipio de Cuenca Detalles gt gt;0
Es mas facil morir de otras enfermedades que de Covid 19 las otras enfermedades no son noticias porque no dan plata a los medios y politicos entonces a quien importa themediaisthevirus;0
Ecuador registra 3 394 fallecidos oficiales y 39 994 positivos por COVID 19;0
Atencion El departamento del Quindio registro 1 caso nuevo de Covid 19 n nMuestras pendientes 102 n n Colombia registra mas de 30 000 casos;0
Ademas del riesgo de contagiarse de Covid 19 indigenas kichwa enfrentan las consecuencias del derrame de petroleo en el rio Coca que piden al gobierno n;0
Antioquia 67 casos nuevos numero de contagiados por COVID 19 llega a 1 168;0
Ultimo mapa de alto riesgo del Covid 19 en Monteria Muestra las comunas mas afectadas;0
Nos hemos olvidado del covid 19 de la mediocridad de nuestro gobierno y los casi 40 000 mil contagiados;0
Sen or navarrowolff a usted y sus colegas les parece logico q en esta crisis economica en q esta envuelto el pais por el Covid 19 ustedes esten pensando en mas vandalismo y dan os a la infraestructura Por q para eso es lo unico q han servido las tales marchas y protestas;0
DerrameSOSAmazonia Se preve que hasta este miercoles 2 de junio se informe sobre la continuacion del proceso asi lo informo hoy el juez del OrellanaCJ luego de suspender la diligencia por problemas de salud en su equipo tecnico n nLeer mas;0
ATENCION nSe confirma primer caso de COVID 19 en la estacion de policia de Los Martires n nSe trata de un ciudadano extranjero en condicion de extraditable;0
Murio el cuarto miembro de una familia de cinco que resulto contagiada con coronavirus;0
Fallece el profesor de la Comunidad San Pablo de la Nacion NSiekopai con sintomalogia de COVID 19 Lo mas grave que el Estado ecuatoriano sigue sin aplicar una politica clara de prevencion y proteccion a los pueblos indigenas Como udapt oficial Nuestra solidaridad;0
Este video atribuido a Anonymos indica que Bill Gates y sus intereses en las industrias farmaceuticas estarian vinculados al Covid 19 pandemia oportuna para arrancar plan de dispositivo de rastreo implantado en los seres humanos nNingun guion de Hollywood puede superar esto;0
FutbolEC Pese a los inconvenientes en LDU Oficial comenzaron las pruebas de Covid 19;0
Extranjera se siente discrimanda por Covid 19 a traves de YouTube;0
La Izquierda en EU es tan irresponsable que incita a protestas no importandole que se propague el Covid 19 nSu cultura es la violencia y la muerte;0
ATENCION nAutoridades de Santa Rosa Bolivar reportan el primer caso de COVID 19 en ese municipio nEl paciente permanece aislado en su casa y ya se tomaron las medidas para el cerramiento epidemiologico;0
Presidente de BSC confirma un caso positivo de coronavirus;0
El 4 11 y 18 de junio desde las 10h00 Ecuador participa en el panel virtual La sociedad rural y las cuestiones alimentarias de America Latina frente al COVID 19 n n Mas informacion;0
TWEET Covid 19 En Guayaquil le echan la culpa al COE por la suspension de los entrenamientos y defienden a Emelec;0
Man ana por la sen al de majestadfm el Dr Roberto Ponce Coordinador General de Control de Calidad del HCAM explicara como se realizara la Consulta Externa en esta casa de salud tras el cambio de semaforo por la emergencia sanitaria de Covid 19 n n IESSec;0
Solo llamaron a agendar cita no se hicieron la prueba y a los dias recibieron resultados 4 positivos para Covid 19;0
Las personas que dicen que YourAnonNews son unos mentirosos y locos Son las mismas que creen en la conspiracion de que el Covid 19 se transmite por las antenas del 5G;0
Si los restaurantes y clientes y en este caso este personaje de la tv no cumplan el protocolo de distanciamiento por el Covid 19 n nGuayaquil volvera a una segunda ola n nEllos debe dar el ejemplo miles los siguen por redes sociales;0
Se confirma primer caso de COVID 19 en la estacion de policia de Los Martires;0
jclopezcnn me parece que arrugaron tuvieron miedo o les prohibieron pasar el informe sobre el covid 19 que esta acabando con miles de vidas pierden credibilidad prefieren dar cobertura a la muerte de george floyd;0
4 de cada 5 personas reportaron disminucion de ingresos durante la emergencia sanitaria en Ecuador y 1 de cada 3 perdieron su trabajo n n Asi concluye una investigacion de TexasTech y MedicinaUNL n n Lee el informe completo aqui gt;0
COVID 19 en tiempos de VIH En Colombia la infeccion por el VIH es la que menor aporta a las comorbilidades de los fallecidos n nSer adherente al tratamiento antirretroviral es la clave;0
Participa este 3 de junio en el Foro Retos del sector hotelero en tiempos de Covid 19 n nConectate en n nActiva la campanita para recibir una notificacion del evento;0
Y ustedes como van con Susana su sana distancia Covid 19 cuarentena DistanciamientoSocial FindelComunicado;0
Un fallecido y mas de 20 adultos mayores contagiados de coronavirus en asilo de Ambato;0
Pasto EnVIVO contra el Covid19 n nConectate este martes 2 de junio a las 4 00 p m para que conozcas acerca de la situacion actual del COVID 19 en Pasto ademas de las nuevas medidas adoptadas para la contencion del virus n n Participa en nuestros CiclosEnVivo;0
Reporte Detallamos las mas recientes cifras por el COVID 19 registradas en el Valle del Cauca ElValleSeQuedaEnCasa Datos del 01 de junio de 2020 Fuente Secretaria de Salud Departamental secsaludvalle;0
Colombia Un estudio de la Universidad del Rosario URosario revelo que la infeccion por Covid 19 habria llegado a Colombia desde Francia un mes antes del primer registro n;0
LEAN Y DIFUNDAN nEl coronavirus revela la desigualdad de la region por Elmer Huerta via elcomercio peru;0
El equipo brasilero Vasco da Gama confirmo 16 positivos en COVID 19;0
EEUU alcanzo este lunes los 1 808 291 casos confirmados de Covid 19 con mas de 105 003 fallecidos n NuevaYork se mantiene como el gran epicentro de la pandemia en EEUU con 371 711 contagiados una cifra unicamente por debajo de Rusia y de Brasil n SucreEnLaNoticia;0
100 de productores de feria De la Chacra a la Olla dieron negativo al covid 19 en Moquegua;0
Caras vemos covid 19 positivo no sabemos;0
Tu salud y la de tu familia esta en tus manos Esta batalla la ganamos J U N T O S TeQueremosSano Covid 19 nConoce mas n n IFRC es eu echo;0
Contraloria emitio y publico mas de 3 600 informes de control en el marco de la Emergencia Sanitaria por COVID 19 a traves de elregionalpiura;0
tangoferoz Son unos hijos de puta a esos nunca les da una diarrea y los inocentes Muriendo de covid 19 y siendo violados No entiendo;0
Nuevos municipios con presencia de Covid 19 las cifras aumentan cada dia pero tambien debe aumentar nuestra responsabilidad y autocuidado para poder hacerle frente a esta emergencia n n;0
Tres internos de la carcel La Picota dieron positivo para COVID 19;0
Todos los paises estamos con problemas no solo usa los noticieros solo son Coronavirus aqui Coronavirus alla y eso desvia lo que en verdad pasa en todos los paises estoy cansado que tapen todo con el tema del covid 19 parece que no hay otro tema;0
Salud Con mas de mil contagios en menos de 24 horas Colombia llego a 30 000 casos positivos de COVID 19 n nAmplie la informacion aqui;0
Ecuador registro hasta este lunes 1 de junio de 2020 3 394 fallecidos oficiales 2 135 probables y 39 994 positivos por Covid 19 informo el Ministerio de Salud Publica;0
A 4 634 se elevo el numero de fallecidos por covid 19 en el Peru y 170 039 casos positivos a traves de elregionalpiura;0
Cifras del COVID 19 en Cartagena n nHoy la ciudad en el dia de su cumplean os sumo 74 casos nuevos de COVID 19 dejando un total de 3 037 pacientes con la enfermedad n nAdemas en Cartagena fallecieron 4 personas el dia de hoy con un total de 140 muertos por la pandemia;0
Region Piura tiene 8 143 casos confirmados de Covid 19 y 527 fallecidos segun Minsa a traves de elregionalpiura;0
MinSaludCol Un medico puede exigirle a un paciente con cancer de colon un examen de Covid 19 sin una alguna justificacion Y si el paciente no lo hace en el tiempo requerido le pueden cancelar el tratamiento;0
Esta man ana saludquito del MunicipioQuito aplico pruebas PCR para deteccion del COVID 19 a BomberosQuito Cuidar la salud del personal que labora en primera linea es nuestra prioridad DisciplinaParaVolver;0
La parte cafe indica como evolucionara el numero diario de contagios de COVID 19 si se reducen las medidas de aislamiento social en 50 en Ecuador COVID19ec n;0
Dr Freddy Carrion Intriago La principal funcion de la DefensoriaDelPueblo es la promocion y proteccion de los DDHH de la ciudadania sobre todo en el contexto de la EmergenciaSanitaria por la Covid 19;0
VIDEO Medicos alemanes y 100 mil pruebas PCR llegaron a Ecuador para la lucha contra el covid 19 El presidente Lenin Moreno recibio la ayuda en Guayaquil n nDetalles aqui;0
Si el COVID 19 no logro que le pagaran los sueldos atrasados al personal de salud no lo hara posible ni Mandrake;0
America Latina el actual epicentro de la pandemia supero el millon de casos de la COVID 19 La mitad de ellos en Brasil;0
La Cifra El Proyecto HidroItuango Ya Cuenta Con 237 Personas Contagiadas Por Covid 19;0
Se acuerdan cuando un gran PENDEJO Ministro de Salud de Peru ponia como mal ejemplo de manejo de la crisis COVID 19 a Ecuador Ya Ahora vean lo que pasa en Peru los medicos de los hospitales cierran las puertas a los pacientes y se quedan viendo cruzados de brazos como si nada;0
jclopezcnn para que promocion un especial sobre el covid 19 si no lo van a pasar es una falta de respeto a la teleaudiencia prefieren dar cobertura a la muerte de george floy y las protestas;0
Gracias a mi querida Angela Bastos por hacerme parte de este trabajo transfronterizo sobre el Covid 19 en America Latina nAqui les dejo el link n n;0
El 53 6 de infectados con covid 19 tiene entre 20 y 49 an os Como dice el medico entrevistado en esta nota se trata de la fuerza productiva del pais La que estos dias vuelve a trabajar Por eso el cuidado es vital;0
4 personas con traje antifluido mascaras tapabocas y guantes les tomaron muestras por ser sospechosos de covid 19 n nY asi es como llega el coronavirus al campo;0
Extincion de mamiferos se acelera pese a que actividad humana dio respiro por COVID 19;0
RevisaINFOCancha y mira nuestro Informativo digital INFOCANCHA Al Instante con estos temas n n Luto en el referato nacional por fallecimiento de Rosa Canales n juanicazares protagoniza escandalo en Brasil n LDU Oficial hizo pruebas de Covid 19 a sus jugadores;0
Este 3 de junio con el cambio de SemaforoAmarilloEnQuito ObrasQuito habilita el peaje Guayasamin Para minimizar el riesgo de contagio de Covid 19 implemento una aplicacion movil para adquirir el TAG de este peaje nConoce mas;0
Los abusos continuaran hasta septiembre u octubre con la omnipotencia adquirida por los politicos por el infundado panico del Covid 19 Mientras el gob central autorice y acolite estas alcaldadas seran la norma;0
LigaPro JuanBarriga galeno de LDU Oficial confirmo que existe un caso positivo por COVID 19 en la interna del Rey de Copas Solo tuvimos un caso positivo que no es parte del cuerpo tecnico ni jugadores;0
8 conductores de bus urbano fueron aislados luego de resultar positivo para Covid 19 pedropalaciosu MunicipioCuenca ctccuenca Cuenca;0
Lenin WilsonCanizares Ojala te de COVID 19 para que entiendas lo que la gente ha padecio Lenin ladron corrupto;0
Te compartimos el ProgramaLupa el especial transfronterizo de saludconlupa que convoco a periodistas de diez paises de la region incluido cuestion p para investigar los impactos de la pandemia del COVID 19 Mas;0
Cifras de Covid 19 en Ecuador de hoy martes 02 de junio n n 118 574 muestras n 4 000 recuperados n 11 399 altas epidemiologicas n 52 937 casos descartados n 40 414 confirmados n 3 438 personas fallecidas n n Azuay 900 casos n Cuenca 767 casos;0
El COVID 19 nos jodio Antes hablabamos de curva de rendimiento deportivo ahora de curva de contagio Las cifras de puntos y goles fueron remplazadas por contagiados recuperados y muertos Ya no hablamos de sistemas de juego ahora de estrategia para detener el virus;0
CEcuNuevaYork CancilleriaEc EmbajadaEcuUSA CEcuQueens carmarbol No entiendo porque en la parte de APO en domicilio dice que al septimo dia se podra realizar una prueba pcr a su costo si se supone que eso es para los que estan en hoteles sin prueba o positivos y no llevaron su prueba negativa de covid 19 al ingresar al pais;0
Uno de los sectores que ha sido afectado en mayor grado es el turistico ya que por el miedo al contagio del covid 19 las personas tienen muchos recelos y miedos de movilizarse entre paises Lee el articulo del wilsonaraquej de la uasbecuador;0
URGENTE Logron o registra el primer caso de covid 19 Es decir ya en todos los cantones de la provincia existen contagios MoronaSantiago asciende a los 131 casos ademas 5 personas han fallecido hasta este martes 02 de junio;0
La Secretaria Metropolitana de Salud continua con la aplicacion de Pruebas PCR para deteccion del Covid 19 al personal municipal que se encuentra trabajando en primera linea DisciplinaParaVolver ConMedidasSalvamosVidas;0
ATENCION Estos son los datos de la crisis sanitaria del 2 de junio de 2020 nConfirmados 40414 nDescartados 52937 nFallecidos 3438 nFallecidos con probable COVID 19 2201 nRecuperados 4000;0
henrypinela Han aumentado los casos Covid 19 estos dias;0
COVID 19 La presentadora le conto a sus seguidores las medidas que esta tomando ante esta inesperada situacion n n;0
ATENCION Hay 3 438 victimas mortales por Covid 19 en Ecuador n nDetalles aqui;0
ElQueLosDELATA Esto del matarifeoficial los tiene mas enfermos que el miedo al Covid 19;0
Situacion nacional por Covid 19 Coronavirus n n 40 414 Casos confirmados n 52 937 Casos descartados n 4 000 Casos recuperados n 3 438 Fallecidos n 4 583 Alta Hospitalaria n 11 399 Alta Epidemiologicas n n El articulo completo en;0
osansamo redentor2126 De este caos solo va a quedar mas miedo y temores que seran tierra fertil para perpetuar un Racismo que abrira una brecha mas grande en la Poblacion Norteamericana n nCon las protestas Vendran mas Muertes por Covid 19 todas esas perdidas traeran mas Resentimiento;0
URGENTE nSe reportan 40 414 casos de covid 19 en Ecuador n nDetalles aqui;0
URGENTE nSe reportan 40 414 casos de covid 19 en Ecuador n nDetalles aqui;0
El COE N difundio este 2 de junio de 2020 nuevas cifras de casos de coronavirusenEcuador Existen 40414 casos confirmados de covid 19 y 3438 personas fallecidas hasta la fecha;0
02Jun USA Covid 19 n PERSONAS EN USA nno se estan ubicando que esta Horda de Maleantes como el Foro de Sao Paulo y Cia son otra cosa y que ahora en el Mundo los disturbios y destrozos de la Sociedad son en un 80 por el Comunismo y Cia y van en union del Terrorismo el;0
El COE N difundio este 2 de junio de 2020 nuevas cifras de casos de coronavirusenEcuador Existen 40414 casos confirmados de covid 19 y 3438 personas fallecidas hasta la fecha;0
En Ecuador hasta la man ana de este martes se han confirmado 40 414 casos positivos de COVID 19 El numero de fallecidos subio a 3 438 Las provincias con mas muertes registradas Guayas Manabi Pichincha y Santa Elena n n El articulo completo en;0
En la carcel San Sebastian de Ternera en Cartagena se prendieron las alarmas por el covid 19 En las ultimas horas se reportaron 86 nuevos internos contagiados;0
CIFRAS Ecuador registra 40 414 casos de COVID 19 n nEl Ministerio de Salud Publica entrego la cifra actualizada de personas contagiadas de Coronavirus en el pais Se detallo ademas que se han realizado 118 574 pruebas n n Mas detalles AQUI;0
CIFRAS Ecuador registra 40 414 casos de COVID 19 n nEl Ministerio de Salud Publica entrego la cifra actualizada de personas contagiadas de Coronavirus en el pais Se detallo ademas que se han realizado 118 574 pruebas n n Mas detalles AQUI;0
Barranquilleros se niegan a practicarse test de COVID 19 y hacen bullying a trabajadores de la salud;0
ACTUALIZACION n3 438 personas han muerto en Ecuador por coronavirus 78 de ellas en SantoDomingo;0
ACTUALIZACION n3 438 personas han muerto en Ecuador por coronavirus 450 de ellas en Manabi;0
